4677: T2_2H_BOW                                                        : Novice's Bow
5512: T5_2H_ARCANE_RINGPAIR_AVALON@3                                   : Expert's Evensong
5513: T6_2H_ARCANE_RINGPAIR_AVALON                                     : Master's Evensong
5514: T6_2H_ARCANE_RINGPAIR_AVALON@1                                   : Master's Evensong
5515: T6_2H_ARCANE_RINGPAIR_AVALON@2                                   : Master's Evensong
5516: T6_2H_ARCANE_RINGPAIR_AVALON@3                                   : Master's Evensong
5517: T7_2H_ARCANE_RINGPAIR_AVALON                                     : Grandmaster's Evensong
5518: T7_2H_ARCANE_RINGPAIR_AVALON@1                                   : Grandmaster's Evensong
5519: T7_2H_ARCANE_RINGPAIR_AVALON@2                                   : Grandmaster's Evensong
5520: T7_2H_ARCANE_RINGPAIR_AVALON@3                                   : Grandmaster's Evensong
5521: T8_2H_ARCANE_RINGPAIR_AVALON                                     : Elder's Evensong
5522: T8_2H_ARCANE_RINGPAIR_AVALON@1                                   : Elder's Evensong
5523: T8_2H_ARCANE_RINGPAIR_AVALON@2                                   : Elder's Evensong
5524: T8_2H_ARCANE_RINGPAIR_AVALON@3                                   : Elder's Evensong
5525: T3_MAIN_HOLYSTAFF                                                : Journeyman's Holy Staff
5526: T4_MAIN_HOLYSTAFF                                                : Adept's Holy Staff
5527: T4_MAIN_HOLYSTAFF@1                                              : Adept's Holy Staff
5528: T4_MAIN_HOLYSTAFF@2                                              : Adept's Holy Staff
5529: T4_MAIN_HOLYSTAFF@3                                              : Adept's Holy Staff
5530: T5_MAIN_HOLYSTAFF                                                : Expert's Holy Staff
5531: T5_MAIN_HOLYSTAFF@1                                              : Expert's Holy Staff
5532: T5_MAIN_HOLYSTAFF@2                                              : Expert's Holy Staff
5533: T5_MAIN_HOLYSTAFF@3                                              : Expert's Holy Staff
5534: T6_MAIN_HOLYSTAFF                                                : Master's Holy Staff
5535: T6_MAIN_HOLYSTAFF@1                                              : Master's Holy Staff
5536: T6_MAIN_HOLYSTAFF@2                                              : Master's Holy Staff
5537: T6_MAIN_HOLYSTAFF@3                                              : Master's Holy Staff
5538: T7_MAIN_HOLYSTAFF                                                : Grandmaster's Holy Staff
5539: T7_MAIN_HOLYSTAFF@1                                              : Grandmaster's Holy Staff
5540: T7_MAIN_HOLYSTAFF@2                                              : Grandmaster's Holy Staff
5541: T7_MAIN_HOLYSTAFF@3                                              : Grandmaster's Holy Staff
5542: T8_MAIN_HOLYSTAFF                                                : Elder's Holy Staff
5543: T8_MAIN_HOLYSTAFF@1                                              : Elder's Holy Staff
5544: T8_MAIN_HOLYSTAFF@2                                              : Elder's Holy Staff
5545: T8_MAIN_HOLYSTAFF@3                                              : Elder's Holy Staff
5546: T4_2H_HOLYSTAFF                                                  : Adept's Great Holy Staff
5547: T4_2H_HOLYSTAFF@1                                                : Adept's Great Holy Staff
5548: T4_2H_HOLYSTAFF@2                                                : Adept's Great Holy Staff
5549: T4_2H_HOLYSTAFF@3                                                : Adept's Great Holy Staff
5550: T5_2H_HOLYSTAFF                                                  : Expert's Great Holy Staff
5551: T5_2H_HOLYSTAFF@1                                                : Expert's Great Holy Staff
5552: T5_2H_HOLYSTAFF@2                                                : Expert's Great Holy Staff
5553: T5_2H_HOLYSTAFF@3                                                : Expert's Great Holy Staff
5554: T6_2H_HOLYSTAFF                                                  : Master's Great Holy Staff
5555: T6_2H_HOLYSTAFF@1                                                : Master's Great Holy Staff
5556: T6_2H_HOLYSTAFF@2                                                : Master's Great Holy Staff
5557: T6_2H_HOLYSTAFF@3                                                : Master's Great Holy Staff
5558: T7_2H_HOLYSTAFF                                                  : Grandmaster's Great Holy Staff
5559: T7_2H_HOLYSTAFF@1                                                : Grandmaster's Great Holy Staff
5560: T7_2H_HOLYSTAFF@2                                                : Grandmaster's Great Holy Staff
5561: T7_2H_HOLYSTAFF@3                                                : Grandmaster's Great Holy Staff
5562: T8_2H_HOLYSTAFF                                                  : Elder's Great Holy Staff
5563: T8_2H_HOLYSTAFF@1                                                : Elder's Great Holy Staff
5564: T8_2H_HOLYSTAFF@2                                                : Elder's Great Holy Staff
5565: T8_2H_HOLYSTAFF@3                                                : Elder's Great Holy Staff
5566: T4_2H_DIVINESTAFF                                                : Adept's Divine Staff
5567: T4_2H_DIVINESTAFF@1                                              : Adept's Divine Staff
5568: T4_2H_DIVINESTAFF@2                                              : Adept's Divine Staff
5569: T4_2H_DIVINESTAFF@3                                              : Adept's Divine Staff
5570: T5_2H_DIVINESTAFF                                                : Expert's Divine Staff
5571: T5_2H_DIVINESTAFF@1                                              : Expert's Divine Staff
5572: T5_2H_DIVINESTAFF@2                                              : Expert's Divine Staff
5573: T5_2H_DIVINESTAFF@3                                              : Expert's Divine Staff
5574: T6_2H_DIVINESTAFF                                                : Master's Divine Staff
5575: T6_2H_DIVINESTAFF@1                                              : Master's Divine Staff
5576: T6_2H_DIVINESTAFF@2                                              : Master's Divine Staff
5577: T6_2H_DIVINESTAFF@3                                              : Master's Divine Staff
5578: T7_2H_DIVINESTAFF                                                : Grandmaster's Divine Staff
5579: T7_2H_DIVINESTAFF@1                                              : Grandmaster's Divine Staff
5580: T7_2H_DIVINESTAFF@2                                              : Grandmaster's Divine Staff
5581: T7_2H_DIVINESTAFF@3                                              : Grandmaster's Divine Staff
5582: T8_2H_DIVINESTAFF                                                : Elder's Divine Staff
5583: T8_2H_DIVINESTAFF@1                                              : Elder's Divine Staff
5584: T8_2H_DIVINESTAFF@2                                              : Elder's Divine Staff
5585: T8_2H_DIVINESTAFF@3                                              : Elder's Divine Staff
5586: T4_MAIN_HOLYSTAFF_MORGANA                                        : Adept's Lifetouch Staff
5587: T4_MAIN_HOLYSTAFF_MORGANA@1                                      : Adept's Lifetouch Staff
5588: T4_MAIN_HOLYSTAFF_MORGANA@2                                      : Adept's Lifetouch Staff
5589: T4_MAIN_HOLYSTAFF_MORGANA@3                                      : Adept's Lifetouch Staff
5590: T5_MAIN_HOLYSTAFF_MORGANA                                        : Expert's Lifetouch Staff
5591: T5_MAIN_HOLYSTAFF_MORGANA@1                                      : Expert's Lifetouch Staff
5592: T5_MAIN_HOLYSTAFF_MORGANA@2                                      : Expert's Lifetouch Staff
5593: T5_MAIN_HOLYSTAFF_MORGANA@3                                      : Expert's Lifetouch Staff
5594: T6_MAIN_HOLYSTAFF_MORGANA                                        : Master's Lifetouch Staff
5595: T6_MAIN_HOLYSTAFF_MORGANA@1                                      : Master's Lifetouch Staff
5596: T6_MAIN_HOLYSTAFF_MORGANA@2                                      : Master's Lifetouch Staff
5597: T6_MAIN_HOLYSTAFF_MORGANA@3                                      : Master's Lifetouch Staff
5598: T7_MAIN_HOLYSTAFF_MORGANA                                        : Grandmaster's Lifetouch Staff
5599: T7_MAIN_HOLYSTAFF_MORGANA@1                                      : Grandmaster's Lifetouch Staff
5600: T7_MAIN_HOLYSTAFF_MORGANA@2                                      : Grandmaster's Lifetouch Staff
5601: T7_MAIN_HOLYSTAFF_MORGANA@3                                      : Grandmaster's Lifetouch Staff
5602: T8_MAIN_HOLYSTAFF_MORGANA                                        : Elder's Lifetouch Staff
5603: T8_MAIN_HOLYSTAFF_MORGANA@1                                      : Elder's Lifetouch Staff
5604: T8_MAIN_HOLYSTAFF_MORGANA@2                                      : Elder's Lifetouch Staff
5605: T8_MAIN_HOLYSTAFF_MORGANA@3                                      : Elder's Lifetouch Staff
5606: T4_2H_HOLYSTAFF_HELL                                             : Adept's Fallen Staff
5607: T4_2H_HOLYSTAFF_HELL@1                                           : Adept's Fallen Staff
5608: T4_2H_HOLYSTAFF_HELL@2                                           : Adept's Fallen Staff
5609: T4_2H_HOLYSTAFF_HELL@3                                           : Adept's Fallen Staff
5610: T5_2H_HOLYSTAFF_HELL                                             : Expert's Fallen Staff
5611: T5_2H_HOLYSTAFF_HELL@1                                           : Expert's Fallen Staff
5612: T5_2H_HOLYSTAFF_HELL@2                                           : Expert's Fallen Staff
5613: T5_2H_HOLYSTAFF_HELL@3                                           : Expert's Fallen Staff
5614: T6_2H_HOLYSTAFF_HELL                                             : Master's Fallen Staff
5615: T6_2H_HOLYSTAFF_HELL@1                                           : Master's Fallen Staff
5616: T6_2H_HOLYSTAFF_HELL@2                                           : Master's Fallen Staff
5617: T6_2H_HOLYSTAFF_HELL@3                                           : Master's Fallen Staff
5618: T7_2H_HOLYSTAFF_HELL                                             : Grandmaster's Fallen Staff
5619: T7_2H_HOLYSTAFF_HELL@1                                           : Grandmaster's Fallen Staff
5620: T7_2H_HOLYSTAFF_HELL@2                                           : Grandmaster's Fallen Staff
5621: T7_2H_HOLYSTAFF_HELL@3                                           : Grandmaster's Fallen Staff
5622: T8_2H_HOLYSTAFF_HELL                                             : Elder's Fallen Staff
5623: T8_2H_HOLYSTAFF_HELL@1                                           : Elder's Fallen Staff
5624: T8_2H_HOLYSTAFF_HELL@2                                           : Elder's Fallen Staff
5625: T8_2H_HOLYSTAFF_HELL@3                                           : Elder's Fallen Staff
5626: T4_2H_HOLYSTAFF_UNDEAD                                           : Adept's Redemption Staff
5627: T4_2H_HOLYSTAFF_UNDEAD@1                                         : Adept's Redemption Staff
5628: T4_2H_HOLYSTAFF_UNDEAD@2                                         : Adept's Redemption Staff
5629: T4_2H_HOLYSTAFF_UNDEAD@3                                         : Adept's Redemption Staff
5630: T5_2H_HOLYSTAFF_UNDEAD                                           : Expert's Redemption Staff
5631: T5_2H_HOLYSTAFF_UNDEAD@1                                         : Expert's Redemption Staff
5632: T5_2H_HOLYSTAFF_UNDEAD@2                                         : Expert's Redemption Staff
5633: T5_2H_HOLYSTAFF_UNDEAD@3                                         : Expert's Redemption Staff
5634: T6_2H_HOLYSTAFF_UNDEAD                                           : Master's Redemption Staff
5635: T6_2H_HOLYSTAFF_UNDEAD@1                                         : Master's Redemption Staff
5636: T6_2H_HOLYSTAFF_UNDEAD@2                                         : Master's Redemption Staff
5637: T6_2H_HOLYSTAFF_UNDEAD@3                                         : Master's Redemption Staff
5638: T7_2H_HOLYSTAFF_UNDEAD                                           : Grandmaster's Redemption Staff
5639: T7_2H_HOLYSTAFF_UNDEAD@1                                         : Grandmaster's Redemption Staff
5640: T7_2H_HOLYSTAFF_UNDEAD@2                                         : Grandmaster's Redemption Staff
5641: T7_2H_HOLYSTAFF_UNDEAD@3                                         : Grandmaster's Redemption Staff
5642: T8_2H_HOLYSTAFF_UNDEAD                                           : Elder's Redemption Staff
5643: T8_2H_HOLYSTAFF_UNDEAD@1                                         : Elder's Redemption Staff
5644: T8_2H_HOLYSTAFF_UNDEAD@2                                         : Elder's Redemption Staff
5645: T8_2H_HOLYSTAFF_UNDEAD@3                                         : Elder's Redemption Staff
5646: T4_MAIN_HOLYSTAFF_AVALON                                         : Adept's Hallowfall
5647: T4_MAIN_HOLYSTAFF_AVALON@1                                       : Adept's Hallowfall
5648: T4_MAIN_HOLYSTAFF_AVALON@2                                       : Adept's Hallowfall
5649: T4_MAIN_HOLYSTAFF_AVALON@3                                       : Adept's Hallowfall
5650: T5_MAIN_HOLYSTAFF_AVALON                                         : Expert's Hallowfall
5651: T5_MAIN_HOLYSTAFF_AVALON@1                                       : Expert's Hallowfall
5652: T5_MAIN_HOLYSTAFF_AVALON@2                                       : Expert's Hallowfall
5653: T5_MAIN_HOLYSTAFF_AVALON@3                                       : Expert's Hallowfall
5654: T6_MAIN_HOLYSTAFF_AVALON                                         : Master's Hallowfall
5655: T6_MAIN_HOLYSTAFF_AVALON@1                                       : Master's Hallowfall
5656: T6_MAIN_HOLYSTAFF_AVALON@2                                       : Master's Hallowfall
5657: T6_MAIN_HOLYSTAFF_AVALON@3                                       : Master's Hallowfall
5658: T7_MAIN_HOLYSTAFF_AVALON                                         : Grandmaster's Hallowfall
5659: T7_MAIN_HOLYSTAFF_AVALON@1                                       : Grandmaster's Hallowfall
5660: T7_MAIN_HOLYSTAFF_AVALON@2                                       : Grandmaster's Hallowfall
5661: T7_MAIN_HOLYSTAFF_AVALON@3                                       : Grandmaster's Hallowfall
5662: T8_MAIN_HOLYSTAFF_AVALON                                         : Elder's Hallowfall
5663: T8_MAIN_HOLYSTAFF_AVALON@1                                       : Elder's Hallowfall
5664: T8_MAIN_HOLYSTAFF_AVALON@2                                       : Elder's Hallowfall
5665: T8_MAIN_HOLYSTAFF_AVALON@3                                       : Elder's Hallowfall
5666: T3_MAIN_NATURESTAFF                                              : Journeyman's Nature Staff
5667: T4_MAIN_NATURESTAFF                                              : Adept's Nature Staff
5668: T4_MAIN_NATURESTAFF@1                                            : Adept's Nature Staff
5669: T4_MAIN_NATURESTAFF@2                                            : Adept's Nature Staff
5670: T4_MAIN_NATURESTAFF@3                                            : Adept's Nature Staff
5671: T5_MAIN_NATURESTAFF                                              : Expert's Nature Staff
5672: T5_MAIN_NATURESTAFF@1                                            : Expert's Nature Staff
5673: T5_MAIN_NATURESTAFF@2                                            : Expert's Nature Staff
5674: T5_MAIN_NATURESTAFF@3                                            : Expert's Nature Staff
5675: T6_MAIN_NATURESTAFF                                              : Master's Nature Staff
5676: T6_MAIN_NATURESTAFF@1                                            : Master's Nature Staff
5677: T6_MAIN_NATURESTAFF@2                                            : Master's Nature Staff
5678: T6_MAIN_NATURESTAFF@3                                            : Master's Nature Staff
5679: T7_MAIN_NATURESTAFF                                              : Grandmaster's Nature Staff
5680: T7_MAIN_NATURESTAFF@1                                            : Grandmaster's Nature Staff
5681: T7_MAIN_NATURESTAFF@2                                            : Grandmaster's Nature Staff
5682: T7_MAIN_NATURESTAFF@3                                            : Grandmaster's Nature Staff
5683: T8_MAIN_NATURESTAFF                                              : Elder's Nature Staff
5684: T8_MAIN_NATURESTAFF@1                                            : Elder's Nature Staff
5685: T8_MAIN_NATURESTAFF@2                                            : Elder's Nature Staff
5686: T8_MAIN_NATURESTAFF@3                                            : Elder's Nature Staff
5687: T4_2H_NATURESTAFF                                                : Adept's Great Nature Staff
5688: T4_2H_NATURESTAFF@1                                              : Adept's Great Nature Staff
5689: T4_2H_NATURESTAFF@2                                              : Adept's Great Nature Staff
5690: T4_2H_NATURESTAFF@3                                              : Adept's Great Nature Staff
5691: T5_2H_NATURESTAFF                                                : Expert's Great Nature Staff
5692: T5_2H_NATURESTAFF@1                                              : Expert's Great Nature Staff
5693: T5_2H_NATURESTAFF@2                                              : Expert's Great Nature Staff
5694: T5_2H_NATURESTAFF@3                                              : Expert's Great Nature Staff
5695: T6_2H_NATURESTAFF                                                : Master's Great Nature Staff
5696: T6_2H_NATURESTAFF@1                                              : Master's Great Nature Staff
5697: T6_2H_NATURESTAFF@2                                              : Master's Great Nature Staff
5698: T6_2H_NATURESTAFF@3                                              : Master's Great Nature Staff
5699: T7_2H_NATURESTAFF                                                : Grandmaster's Great Nature Staff
5700: T7_2H_NATURESTAFF@1                                              : Grandmaster's Great Nature Staff
5701: T7_2H_NATURESTAFF@2                                              : Grandmaster's Great Nature Staff
5702: T7_2H_NATURESTAFF@3                                              : Grandmaster's Great Nature Staff
5703: T8_2H_NATURESTAFF                                                : Elder's Great Nature Staff
5704: T8_2H_NATURESTAFF@1                                              : Elder's Great Nature Staff
5705: T8_2H_NATURESTAFF@2                                              : Elder's Great Nature Staff
5706: T8_2H_NATURESTAFF@3                                              : Elder's Great Nature Staff
5707: T4_2H_WILDSTAFF                                                  : Adept's Wild Staff
5708: T4_2H_WILDSTAFF@1                                                : Adept's Wild Staff
5709: T4_2H_WILDSTAFF@2                                                : Adept's Wild Staff
5710: T4_2H_WILDSTAFF@3                                                : Adept's Wild Staff
5711: T5_2H_WILDSTAFF                                                  : Expert's Wild Staff
5712: T5_2H_WILDSTAFF@1                                                : Expert's Wild Staff
5713: T5_2H_WILDSTAFF@2                                                : Expert's Wild Staff
5714: T5_2H_WILDSTAFF@3                                                : Expert's Wild Staff
5715: T6_2H_WILDSTAFF                                                  : Master's Wild Staff
5716: T6_2H_WILDSTAFF@1                                                : Master's Wild Staff
5717: T6_2H_WILDSTAFF@2                                                : Master's Wild Staff
5718: T6_2H_WILDSTAFF@3                                                : Master's Wild Staff
5719: T7_2H_WILDSTAFF                                                  : Grandmaster's Wild Staff
5720: T7_2H_WILDSTAFF@1                                                : Grandmaster's Wild Staff
5721: T7_2H_WILDSTAFF@2                                                : Grandmaster's Wild Staff
5722: T7_2H_WILDSTAFF@3                                                : Grandmaster's Wild Staff
5723: T8_2H_WILDSTAFF                                                  : Elder's Wild Staff
5724: T8_2H_WILDSTAFF@1                                                : Elder's Wild Staff
5725: T8_2H_WILDSTAFF@2                                                : Elder's Wild Staff
5726: T8_2H_WILDSTAFF@3                                                : Elder's Wild Staff
5727: T4_MAIN_NATURESTAFF_KEEPER                                       : Adept's Druidic Staff
5728: T4_MAIN_NATURESTAFF_KEEPER@1                                     : Adept's Druidic Staff
5729: T4_MAIN_NATURESTAFF_KEEPER@2                                     : Adept's Druidic Staff
5730: T4_MAIN_NATURESTAFF_KEEPER@3                                     : Adept's Druidic Staff
5731: T5_MAIN_NATURESTAFF_KEEPER                                       : Expert's Druidic Staff
5732: T5_MAIN_NATURESTAFF_KEEPER@1                                     : Expert's Druidic Staff
5733: T5_MAIN_NATURESTAFF_KEEPER@2                                     : Expert's Druidic Staff
5734: T5_MAIN_NATURESTAFF_KEEPER@3                                     : Expert's Druidic Staff
5735: T6_MAIN_NATURESTAFF_KEEPER                                       : Master's Druidic Staff
5736: T6_MAIN_NATURESTAFF_KEEPER@1                                     : Master's Druidic Staff
5737: T6_MAIN_NATURESTAFF_KEEPER@2                                     : Master's Druidic Staff
5738: T6_MAIN_NATURESTAFF_KEEPER@3                                     : Master's Druidic Staff
5739: T7_MAIN_NATURESTAFF_KEEPER                                       : Grandmaster's Druidic Staff
5740: T7_MAIN_NATURESTAFF_KEEPER@1                                     : Grandmaster's Druidic Staff
5741: T7_MAIN_NATURESTAFF_KEEPER@2                                     : Grandmaster's Druidic Staff
5742: T7_MAIN_NATURESTAFF_KEEPER@3                                     : Grandmaster's Druidic Staff
5743: T8_MAIN_NATURESTAFF_KEEPER                                       : Elder's Druidic Staff
5744: T8_MAIN_NATURESTAFF_KEEPER@1                                     : Elder's Druidic Staff
5745: T8_MAIN_NATURESTAFF_KEEPER@2                                     : Elder's Druidic Staff
5746: T8_MAIN_NATURESTAFF_KEEPER@3                                     : Elder's Druidic Staff
5747: T4_2H_NATURESTAFF_HELL                                           : Adept's Blight Staff
5748: T4_2H_NATURESTAFF_HELL@1                                         : Adept's Blight Staff
5749: T4_2H_NATURESTAFF_HELL@2                                         : Adept's Blight Staff
5750: T4_2H_NATURESTAFF_HELL@3                                         : Adept's Blight Staff
5751: T5_2H_NATURESTAFF_HELL                                           : Expert's Blight Staff
5752: T5_2H_NATURESTAFF_HELL@1                                         : Expert's Blight Staff
5753: T5_2H_NATURESTAFF_HELL@2                                         : Expert's Blight Staff
5754: T5_2H_NATURESTAFF_HELL@3                                         : Expert's Blight Staff
5755: T6_2H_NATURESTAFF_HELL                                           : Master's Blight Staff
5756: T6_2H_NATURESTAFF_HELL@1                                         : Master's Blight Staff
5757: T6_2H_NATURESTAFF_HELL@2                                         : Master's Blight Staff
5758: T6_2H_NATURESTAFF_HELL@3                                         : Master's Blight Staff
5759: T7_2H_NATURESTAFF_HELL                                           : Grandmaster's Blight Staff
5760: T7_2H_NATURESTAFF_HELL@1                                         : Grandmaster's Blight Staff
5761: T7_2H_NATURESTAFF_HELL@2                                         : Grandmaster's Blight Staff
5762: T7_2H_NATURESTAFF_HELL@3                                         : Grandmaster's Blight Staff
5763: T8_2H_NATURESTAFF_HELL                                           : Elder's Blight Staff
5764: T8_2H_NATURESTAFF_HELL@1                                         : Elder's Blight Staff
5765: T8_2H_NATURESTAFF_HELL@2                                         : Elder's Blight Staff
5766: T8_2H_NATURESTAFF_HELL@3                                         : Elder's Blight Staff
5767: T4_2H_NATURESTAFF_KEEPER                                         : Adept's Rampant Staff
5768: T4_2H_NATURESTAFF_KEEPER@1                                       : Adept's Rampant Staff
5769: T4_2H_NATURESTAFF_KEEPER@2                                       : Adept's Rampant Staff
5770: T4_2H_NATURESTAFF_KEEPER@3                                       : Adept's Rampant Staff
5771: T5_2H_NATURESTAFF_KEEPER                                         : Expert's Rampant Staff
5772: T5_2H_NATURESTAFF_KEEPER@1                                       : Expert's Rampant Staff
5773: T5_2H_NATURESTAFF_KEEPER@2                                       : Expert's Rampant Staff
5774: T5_2H_NATURESTAFF_KEEPER@3                                       : Expert's Rampant Staff
5775: T6_2H_NATURESTAFF_KEEPER                                         : Master's Rampant Staff
5776: T6_2H_NATURESTAFF_KEEPER@1                                       : Master's Rampant Staff
5777: T6_2H_NATURESTAFF_KEEPER@2                                       : Master's Rampant Staff
5778: T6_2H_NATURESTAFF_KEEPER@3                                       : Master's Rampant Staff
5779: T7_2H_NATURESTAFF_KEEPER                                         : Grandmaster's Rampant Staff
5780: T7_2H_NATURESTAFF_KEEPER@1                                       : Grandmaster's Rampant Staff
5781: T7_2H_NATURESTAFF_KEEPER@2                                       : Grandmaster's Rampant Staff
5782: T7_2H_NATURESTAFF_KEEPER@3                                       : Grandmaster's Rampant Staff
5783: T8_2H_NATURESTAFF_KEEPER                                         : Elder's Rampant Staff
5784: T8_2H_NATURESTAFF_KEEPER@1                                       : Elder's Rampant Staff
5785: T8_2H_NATURESTAFF_KEEPER@2                                       : Elder's Rampant Staff
5786: T8_2H_NATURESTAFF_KEEPER@3                                       : Elder's Rampant Staff
5787: T4_MAIN_NATURESTAFF_AVALON                                       : Adept's Ironroot Staff
5788: T4_MAIN_NATURESTAFF_AVALON@1                                     : Adept's Ironroot Staff
5789: T4_MAIN_NATURESTAFF_AVALON@2                                     : Adept's Ironroot Staff
5790: T4_MAIN_NATURESTAFF_AVALON@3                                     : Adept's Ironroot Staff
5791: T5_MAIN_NATURESTAFF_AVALON                                       : Expert's Ironroot Staff
5792: T5_MAIN_NATURESTAFF_AVALON@1                                     : Expert's Ironroot Staff
5793: T5_MAIN_NATURESTAFF_AVALON@2                                     : Expert's Ironroot Staff
5794: T5_MAIN_NATURESTAFF_AVALON@3                                     : Expert's Ironroot Staff
5795: T6_MAIN_NATURESTAFF_AVALON                                       : Master's Ironroot Staff
5796: T6_MAIN_NATURESTAFF_AVALON@1                                     : Master's Ironroot Staff
5797: T6_MAIN_NATURESTAFF_AVALON@2                                     : Master's Ironroot Staff
5798: T6_MAIN_NATURESTAFF_AVALON@3                                     : Master's Ironroot Staff
5799: T7_MAIN_NATURESTAFF_AVALON                                       : Grandmaster's Ironroot Staff
5800: T7_MAIN_NATURESTAFF_AVALON@1                                     : Grandmaster's Ironroot Staff
5801: T7_MAIN_NATURESTAFF_AVALON@2                                     : Grandmaster's Ironroot Staff
5802: T7_MAIN_NATURESTAFF_AVALON@3                                     : Grandmaster's Ironroot Staff
5803: T8_MAIN_NATURESTAFF_AVALON                                       : Elder's Ironroot Staff
5804: T8_MAIN_NATURESTAFF_AVALON@1                                     : Elder's Ironroot Staff
5805: T8_MAIN_NATURESTAFF_AVALON@2                                     : Elder's Ironroot Staff
5806: T8_MAIN_NATURESTAFF_AVALON@3                                     : Elder's Ironroot Staff
5807: T3_MAIN_DAGGER                                                   : Journeyman's Dagger
5808: T4_MAIN_DAGGER                                                   : Adept's Dagger
5809: T4_MAIN_DAGGER@1                                                 : Adept's Dagger
5810: T4_MAIN_DAGGER@2                                                 : Adept's Dagger
5811: T4_MAIN_DAGGER@3                                                 : Adept's Dagger
5812: T5_MAIN_DAGGER                                                   : Expert's Dagger
5813: T5_MAIN_DAGGER@1                                                 : Expert's Dagger
5814: T5_MAIN_DAGGER@2                                                 : Expert's Dagger
5815: T5_MAIN_DAGGER@3                                                 : Expert's Dagger
5816: T6_MAIN_DAGGER                                                   : Master's Dagger
5817: T6_MAIN_DAGGER@1                                                 : Master's Dagger
5818: T6_MAIN_DAGGER@2                                                 : Master's Dagger
5819: T6_MAIN_DAGGER@3                                                 : Master's Dagger
5820: T7_MAIN_DAGGER                                                   : Grandmaster's Dagger
5821: T7_MAIN_DAGGER@1                                                 : Grandmaster's Dagger
5822: T7_MAIN_DAGGER@2                                                 : Grandmaster's Dagger
5823: T7_MAIN_DAGGER@3                                                 : Grandmaster's Dagger
5824: T8_MAIN_DAGGER                                                   : Elder's Dagger
5825: T8_MAIN_DAGGER@1                                                 : Elder's Dagger
5826: T8_MAIN_DAGGER@2                                                 : Elder's Dagger
5827: T8_MAIN_DAGGER@3                                                 : Elder's Dagger
5828: T4_2H_DAGGERPAIR                                                 : Adept's Dagger Pair
5829: T4_2H_DAGGERPAIR@1                                               : Adept's Dagger Pair
5830: T4_2H_DAGGERPAIR@2                                               : Adept's Dagger Pair
5831: T4_2H_DAGGERPAIR@3                                               : Adept's Dagger Pair
5832: T5_2H_DAGGERPAIR                                                 : Expert's Dagger Pair
5833: T5_2H_DAGGERPAIR@1                                               : Expert's Dagger Pair
5834: T5_2H_DAGGERPAIR@2                                               : Expert's Dagger Pair
5835: T5_2H_DAGGERPAIR@3                                               : Expert's Dagger Pair
5836: T6_2H_DAGGERPAIR                                                 : Master's Dagger Pair
5837: T6_2H_DAGGERPAIR@1                                               : Master's Dagger Pair
5838: T6_2H_DAGGERPAIR@2                                               : Master's Dagger Pair
5839: T6_2H_DAGGERPAIR@3                                               : Master's Dagger Pair
5840: T7_2H_DAGGERPAIR                                                 : Grandmaster's Dagger Pair
5841: T7_2H_DAGGERPAIR@1                                               : Grandmaster's Dagger Pair
5842: T7_2H_DAGGERPAIR@2                                               : Grandmaster's Dagger Pair
5843: T7_2H_DAGGERPAIR@3                                               : Grandmaster's Dagger Pair
5844: T8_2H_DAGGERPAIR                                                 : Elder's Dagger Pair
5845: T8_2H_DAGGERPAIR@1                                               : Elder's Dagger Pair
5846: T8_2H_DAGGERPAIR@2                                               : Elder's Dagger Pair
5847: T8_2H_DAGGERPAIR@3                                               : Elder's Dagger Pair
5848: T4_2H_CLAWPAIR                                                   : Adept's Claws
5849: T4_2H_CLAWPAIR@1                                                 : Adept's Claws
5850: T4_2H_CLAWPAIR@2                                                 : Adept's Claws
5851: T4_2H_CLAWPAIR@3                                                 : Adept's Claws
5852: T5_2H_CLAWPAIR                                                   : Expert's Claws
5853: T5_2H_CLAWPAIR@1                                                 : Expert's Claws
5854: T5_2H_CLAWPAIR@2                                                 : Expert's Claws
5855: T5_2H_CLAWPAIR@3                                                 : Expert's Claws
5856: T6_2H_CLAWPAIR                                                   : Master's Claws
5857: T6_2H_CLAWPAIR@1                                                 : Master's Claws
5858: T6_2H_CLAWPAIR@2                                                 : Master's Claws
5859: T6_2H_CLAWPAIR@3                                                 : Master's Claws
5860: T7_2H_CLAWPAIR                                                   : Grandmaster's Claws
5861: T7_2H_CLAWPAIR@1                                                 : Grandmaster's Claws
5862: T7_2H_CLAWPAIR@2                                                 : Grandmaster's Claws
5863: T7_2H_CLAWPAIR@3                                                 : Grandmaster's Claws
5864: T8_2H_CLAWPAIR                                                   : Elder's Claws
5865: T8_2H_CLAWPAIR@1                                                 : Elder's Claws
5866: T8_2H_CLAWPAIR@2                                                 : Elder's Claws
5867: T8_2H_CLAWPAIR@3                                                 : Elder's Claws
5868: T4_MAIN_RAPIER_MORGANA                                           : Adept's Bloodletter
5869: T4_MAIN_RAPIER_MORGANA@1                                         : Adept's Bloodletter
5870: T4_MAIN_RAPIER_MORGANA@2                                         : Adept's Bloodletter
5871: T4_MAIN_RAPIER_MORGANA@3                                         : Adept's Bloodletter
5872: T5_MAIN_RAPIER_MORGANA                                           : Expert's Bloodletter
5873: T5_MAIN_RAPIER_MORGANA@1                                         : Expert's Bloodletter
5874: T5_MAIN_RAPIER_MORGANA@2                                         : Expert's Bloodletter
5875: T5_MAIN_RAPIER_MORGANA@3                                         : Expert's Bloodletter
